city,city_ascii,state_name,lat,lng
Fayetteville,Fayetteville,Georgia,33.4501,-84.471
Fate,Fate,Texas,32.943,-96.3858
Gautier,Gautier,Mississippi,30.4106,-88.6568
Ellensburg,Ellensburg,Washington,46.9999,-120.5475
Greenfield,Greenfield,California,36.3242,-121.2428
Weirton,Weirton,West Virginia,40.406,-80.5671
Ansonia,Ansonia,Connecticut,41.3443,-73.0689
Fox Crossing,Fox Crossing,Wisconsin,44.2228,-88.4763
Pinole,Pinole,California,37.9931,-122.2833
Augusta,Augusta,Maine,44.3341,-69.7319
Harrisburg,Harrisburg,North Carolina,35.3125,-80.6485
Franklin Farm,Franklin Farm,Virginia,38.9133,-77.3969
Matteson,Matteson,Illinois,41.5095,-87.7468
San Carlos Park,San Carlos Park,Florida,26.4765,-81.8193
Lake Shore,Lake Shore,Maryland,39.103,-76.4876
Coronado,Coronado,California,32.6649,-117.1604
Alsip,Alsip,Illinois,41.6701,-87.7368
Cinco Ranch,Cinco Ranch,Texas,29.7395,-95.7607
North Myrtle Beach,North Myrtle Beach,South Carolina,33.8232,-78.7082
Santa Fe Springs,Santa Fe Springs,California,33.9329,-118.0625
Ronkonkoma,Ronkonkoma,New York,40.8037,-73.1246
Onalaska,Onalaska,Wisconsin,43.8883,-91.2075
Lakeway,Lakeway,Texas,30.3544,-97.9864
Bradfordville,Bradfordville,Florida,30.5735,-84.2055
Republic,Republic,Missouri,37.1452,-93.4446
Brownwood,Brownwood,Texas,31.7127,-98.9767
Sheridan,Sheridan,Wyoming,44.7961,-106.9642
Syosset,Syosset,New York,40.8157,-73.502
East St. Louis,East St. Louis,Illinois,38.6155,-90.1304
Marshfield,Marshfield,Wisconsin,44.6627,-90.1728
Wisconsin Rapids,Wisconsin Rapids,Wisconsin,44.3927,-89.8265
Springfield,Springfield,Tennessee,36.4949,-86.8711
Chowchilla,Chowchilla,California,37.1095,-120.2349
Durant,Durant,Oklahoma,33.9949,-96.3923
Rutherford,Rutherford,New Jersey,40.8203,-74.1057
Hopkins,Hopkins,Minnesota,44.9259,-93.4056
Bayshore Gardens,Bayshore Gardens,Florida,27.4345,-82.5793
Thomasville,Thomasville,Georgia,30.8394,-83.9782
Palestine,Palestine,Texas,31.7544,-95.6471
Wallingford Center,Wallingford Center,Connecticut,41.4499,-72.8189
Lansdale,Lansdale,Pennsylvania,40.2417,-75.2812
Phoenixville,Phoenixville,Pennsylvania,40.1359,-75.5201
Country Walk,Country Walk,Florida,25.633,-80.4353
South San Jose Hills,South San Jose Hills,California,34.0123,-117.9043
Altus,Altus,Oklahoma,34.6565,-99.3061
Ottawa,Ottawa,Illinois,41.3555,-88.8261
Creve Coeur,Creve Coeur,Missouri,38.662,-90.443
Martinsburg,Martinsburg,West Virginia,39.4582,-77.9776
Round Lake,Round Lake,Illinois,42.3435,-88.1059
Bensenville,Bensenville,Illinois,41.9579,-87.9442
Trinity,Trinity,Florida,28.1809,-82.6582
Seagoville,Seagoville,Texas,32.653,-96.5456
Centerton,Centerton,Arkansas,36.3566,-94.2971
St. Michael,St. Michael,Minnesota,45.2014,-93.692
Castaic,Castaic,California,34.4818,-118.6316
Knik-Fairview,Knik-Fairview,Alaska,61.5082,-149.6252
